CLIENT_ID,IS_INTERESTED_INVESTMENT,IS_INTERESTED_BUILD_CREDIT,IS_INTERESTED_INCREASE_INCOME,IS_INTERESTED_PAY_OFF_DEBT,IS_INTERESTED_MANAGE_SPENDING,IS_INTERESTED_GROW_SAVINGS
1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
5,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
9,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
16,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
25,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
26,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
32,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
33,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
40,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
41,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
42,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
43,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
44,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
46,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
47,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
48,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
49,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
50,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
51,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
52,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
53,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
54,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
55,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
57,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
58,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
59,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
60,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
61,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
